GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: NOT_SET
InfoText: 
NumDimensions: 2
TotalNumTrainingExamples: 10
NumberOfClasses: 1
ClassIDsAndCounters: 
1	10
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 12
TimeSeriesData: 
0.348963	0.491715
0.362052	0.436784
0.389438	0.390048
0.448711	0.344397
0.471879	0.35109
0.498236	0.377566
0.510302	0.431765
0.507687	0.511955
0.475681	0.581818
0.426157	0.621971
0.365587	0.607005
0.352775	0.543088
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 13
TimeSeriesData: 
0.335752	0.506747
0.347786	0.43528
0.37458	0.381089
0.428497	0.330456
0.443352	0.312138
0.474335	0.320085
0.497128	0.359526
0.500284	0.423948
0.485374	0.507496
0.444347	0.569717
0.39942	0.595595
0.358215	0.578986
0.327521	0.543983
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData: 
0.324493	0.493278
0.330612	0.434294
0.352724	0.364043
0.38737	0.346704
0.438896	0.298416
0.460833	0.307874
0.490004	0.344751
0.512125	0.407484
0.519168	0.501532
0.509266	0.576272
0.457057	0.624094
0.400354	0.629044
0.356307	0.600426
0.31212	0.534227
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 13
TimeSeriesData: 
0.302446	0.446547
0.308177	0.400849
0.329433	0.33274
0.363942	0.298131
0.425792	0.258373
0.445776	0.260348
0.467342	0.283052
0.490765	0.341821
0.501075	0.418596
0.489578	0.549662
0.457422	0.569316
0.406922	0.593978
0.363514	0.579019
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 13
TimeSeriesData: 
0.331508	0.533608
0.336165	0.437246
0.358115	0.410736
0.386189	0.353741
0.442821	0.325602
0.463561	0.320233
0.497612	0.344283
0.524213	0.400076
0.53338	0.473369
0.517044	0.539979
0.460074	0.584851
0.402352	0.59922
0.357341	0.57898
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData: 
0.337696	0.495731
0.338407	0.438833
0.342775	0.384159
0.357527	0.356955
0.391465	0.348178
0.440191	0.312772
0.463269	0.339724
0.491314	0.37982
0.511071	0.448037
0.502357	0.523523
0.463854	0.577114
0.41358	0.603434
0.374379	0.598844
0.341868	0.550453
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 13
TimeSeriesData: 
0.339674	0.474814
0.350763	0.414533
0.39222	0.360836
0.405421	0.34159
0.465085	0.324793
0.489422	0.357646
0.522602	0.408981
0.507856	0.480615
0.489046	0.540258
0.461417	0.560992
0.410491	0.583588
0.367569	0.565193
0.353132	0.546252
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 12
TimeSeriesData: 
0.34445	0.446669
0.357155	0.390587
0.398715	0.36446
0.399834	0.420124
0.464627	0.349843
0.490747	0.385444
0.506319	0.448477
0.499617	0.523505
0.459481	0.570143
0.416125	0.589521
0.377091	0.58127
0.352266	0.532626
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData: 
0.346653	0.475623
0.351116	0.455417
0.36034	0.430053
0.39808	0.389649
0.409141	0.381988
0.474657	0.361142
0.496004	0.41474
0.508541	0.465975
0.499796	0.532233
0.479535	0.594271
0.425927	0.610693
0.387834	0.604495
0.367885	0.591089
0.340865	0.534775
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData: 
0.334641	0.468171
0.349144	0.424499
0.38238	0.369543
0.406029	0.353931
0.456498	0.340779
0.477894	0.362836
0.510699	0.403118
0.530659	0.467488
0.531062	0.536993
0.505125	0.596628
0.45173	0.623841
0.396797	0.619891
0.355826	0.588387
0.326506	0.518936

