GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: NOT_SET
InfoText: 
NumDimensions: 2
TotalNumTrainingExamples: 13
NumberOfClasses: 1
ClassIDsAndCounters: 
1	13
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 29
TimeSeriesData:
0.0610748	0.768258
0.0971892	0.635027
0.16454	0.543775
0.19296	0.485632
0.184456	0.451173
0.184456	0.451173
0.237976	0.331643
0.276036	0.281116
0.339674	0.219676
0.369076	0.208709
0.390109	0.202082
0.416956	0.199748
0.44517	0.202128
0.473012	0.210903
0.498895	0.226021
0.547861	0.285378
0.568505	0.323948
0.568505	0.323948
0.587188	0.375785
0.609271	0.500734
0.605213	0.571557
0.582937	0.643938
0.53136	0.714123
0.415236	0.840801
0.337219	0.893253
0.275422	0.908253
0.149615	0.888666
0.111252	0.853438
0.0675309	0.807565
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 33
TimeSeriesData: 
0.116744	0.697122
0.119398	0.64509
0.171143	0.551459
0.192047	0.49337
0.217506	0.439912
0.24927	0.398362
0.264792	0.370402
0.285957	0.337494
0.310684	0.315428
0.325124	0.287044
0.346172	0.294033
0.373207	0.262961
0.396284	0.261117
0.41773	0.267611
0.441415	0.285824
0.463842	0.3072
0.485022	0.331857
0.50855	0.36789
0.529136	0.409785
0.558636	0.462097
0.571417	0.519148
0.587334	0.577812
0.596012	0.654372
0.565872	0.717693
0.523393	0.768133
0.479203	0.810919
0.422088	0.858485
0.350629	0.890743
0.303669	0.909232
0.233355	0.911599
0.175861	0.900281
0.131914	0.873021
0.107656	0.824747
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 33
TimeSeriesData:
0.116727	0.69075
0.117432	0.633442
0.175654	0.546817
0.201161	0.485213
0.222817	0.424656
0.237945	0.396286
0.266252	0.348425
0.285914	0.319914
0.311865	0.285102
0.329732	0.259573
0.353552	0.236875
0.378127	0.225197
0.397487	0.222375
0.422917	0.226378
0.44684	0.237449
0.472741	0.256819
0.495279	0.281748
0.518485	0.31564
0.538401	0.35584
0.555826	0.40291
0.573825	0.465994
0.587629	0.52493
0.600058	0.59785
0.574197	0.665084
0.529158	0.728173
0.488601	0.776005
0.435395	0.829876
0.372723	0.876358
0.320289	0.898834
0.252919	0.904186
0.197904	0.896689
0.149579	0.876303
0.116865	0.838375
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 33
TimeSeriesData:
0.106407	0.720696
0.101363	0.665522
0.157059	0.570139
0.181491	0.515087
0.199144	0.450845
0.221899	0.406049
0.237483	0.375152
0.261657	0.339716
0.283775	0.308538
0.301749	0.264123
0.319429	0.245294
0.331193	0.26601
0.359969	0.242906
0.381656	0.244819
0.40153	0.253869
0.422758	0.27193
0.444116	0.300962
0.463551	0.335
0.481645	0.373026
0.502834	0.422892
0.519894	0.477706
0.534935	0.542257
0.545562	0.617413
0.547096	0.693048
0.536213	0.769645
0.503719	0.809137
0.405753	0.876792
0.336033	0.905216
0.286793	0.907465
0.224056	0.903556
0.170754	0.884388
0.130123	0.854691
0.108314	0.806574
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 31
TimeSeriesData:
0.101224	0.686226
0.14155	0.620145
0.175225	0.553291
0.203199	0.480962
0.235775	0.430715
0.252942	0.393992
0.283238	0.356647
0.291599	0.346065
0.327326	0.303143
0.357056	0.276346
0.382735	0.258018
0.404584	0.248857
0.430147	0.248281
0.458847	0.257349
0.482063	0.268601
0.509048	0.2876
0.535451	0.314573
0.558574	0.345886
0.583986	0.384726
0.605708	0.436017
0.622447	0.492327
0.618985	0.562528
0.592931	0.639004
0.54681	0.71587
0.495504	0.770471
0.435503	0.844398
0.352393	0.900352
0.30229	0.926491
0.221518	0.933961
0.158805	0.916878
0.111298	0.88499
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 33
TimeSeriesData:
0.0892749	0.752913
0.100205	0.675948
0.118445	0.596031
0.142238	0.527534
0.164231	0.459957
0.184262	0.400296
0.209112	0.347339
0.232148	0.29785
0.239346	0.270513
0.257987	0.240402
0.279065	0.206853
0.299821	0.186072
0.317817	0.176861
0.363885	0.173305
0.38275	0.181314
0.401763	0.197412
0.4233	0.222979
0.44647	0.259099
0.465578	0.298413
0.483835	0.339135
0.504367	0.394937
0.519628	0.453326
0.537546	0.521496
0.547542	0.593913
0.530098	0.671894
0.502491	0.723995
0.460824	0.771125
0.413687	0.815658
0.349623	0.857953
0.305707	0.872389
0.249575	0.874989
0.206766	0.86135
0.17543	0.834183
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 30
TimeSeriesData:
0.144596	0.590546
0.165179	0.539254
0.210914	0.453037
0.232957	0.407763
0.220736	0.405047
0.24953	0.379571
0.288683	0.310303
0.303192	0.285468
0.312995	0.285796
0.344419	0.26678
0.351446	0.280419
0.390081	0.298493
0.390081	0.298493
0.412671	0.306396
0.441801	0.383305
0.441801	0.383305
0.459653	0.429321
0.477922	0.475065
0.495547	0.530882
0.516664	0.658765
0.516664	0.658765
0.503325	0.718528
0.474773	0.749571
0.391176	0.815875
0.331788	0.853232
0.280776	0.873391
0.224884	0.883335
0.177493	0.874308
0.14717	0.841369
0.136717	0.792744
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 30
TimeSeriesData:
0.175636	0.657147
0.166591	0.613233
0.223012	0.53485
0.247028	0.478193
0.271717	0.431753
0.289404	0.385997
0.303139	0.352287
0.332274	0.339493
0.338197	0.317647
0.367908	0.286948
0.41138	0.285493
0.435182	0.290019
0.454232	0.299233
0.475554	0.314065
0.499224	0.337303
0.523639	0.372179
0.544592	0.40191
0.566836	0.446012
0.590301	0.495782
0.60519	0.548456
0.592213	0.608796
0.56709	0.652752
0.518602	0.712969
0.470497	0.757763
0.419656	0.813812
0.296601	0.905993
0.227132	0.91328
0.170682	0.899069
0.130058	0.86671
0.110034	0.813899
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 32
TimeSeriesData:
0.142434	0.663531
0.165294	0.585835
0.186363	0.521549
0.170128	0.491644
0.23006	0.401299
0.220396	0.396386
0.26514	0.306105
0.275958	0.281601
0.28134	0.246943
0.315351	0.239697
0.33979	0.22254
0.385966	0.205725
0.385966	0.205725
0.401848	0.215285
0.446564	0.247437
0.467601	0.27207
0.488345	0.303355
0.532495	0.394175
0.532495	0.394175
0.552345	0.444329
0.584987	0.554311
0.581522	0.640915
0.554131	0.699394
0.508053	0.748828
0.408984	0.822783
0.408984	0.822783
0.338701	0.863613
0.276024	0.880603
0.215459	0.877763
0.162167	0.863323
0.127374	0.824918
0.0913216	0.718106
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 30
TimeSeriesData:
0.102174	0.655155
0.143353	0.529843
0.198177	0.451989
0.221089	0.401153
0.206108	0.394544
0.260098	0.320143
0.274077	0.283954
0.270626	0.29186
0.302673	0.235052
0.318715	0.268988
0.343111	0.237196
0.36551	0.23722
0.37845	0.263136
