GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: NOT_SET
InfoText: 
NumDimensions: 2
TotalNumTrainingExamples: 10
NumberOfClasses: 1
ClassIDsAndCounters: 
1	10
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 15
TimeSeriesData:
0.391885	0.368711
0.471096	0.34651
0.532013	0.348402
0.602706	0.380705
0.650499	0.441821
0.668129	0.541676
0.629759	0.660104
0.610739	0.734859
0.512974	0.800816
0.477089	0.820293
0.355227	0.811101
0.299527	0.781255
0.248327	0.59806
0.272279	0.48404
0.333002	0.388783
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 16
TimeSeriesData: 
0.397175	0.348584
0.479306	0.317162
0.546495	0.315558
0.609685	0.333691
0.652075	0.398631
0.671676	0.493854
0.645315	0.609418
0.621679	0.771952
0.518291	0.870705
0.392688	0.874132
0.300818	0.813708
0.238805	0.700564
0.23249	0.578052
0.264669	0.46502
0.293185	0.41683
0.32944	0.377284
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 15
TimeSeriesData:
0.398284	0.342431
0.481086	0.321805
0.546841	0.323628
0.61537	0.354135
0.660331	0.420591
0.680374	0.522011
0.645777	0.644729
0.600632	0.77901
0.497631	0.832232
0.382825	0.853141
0.27724	0.794643
0.228776	0.665618
0.237313	0.537093
0.285228	0.42755
0.386501	0.362277
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData:
0.43454	0.32501
0.537954	0.304909
0.603503	0.326826
0.651539	0.384703
0.670641	0.486296
0.642913	0.609681
0.605105	0.755528
0.502385	0.841565
0.385213	0.848588
0.28286	0.786708
0.233314	0.656983
0.238492	0.53223
0.288183	0.419308
0.362415	0.346321
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData:
0.430444	0.322018
0.507833	0.311831
0.577777	0.324029
0.636371	0.367185
0.673362	0.446337
0.677547	0.55881
0.632685	0.685949
0.560948	0.81052
0.459918	0.889161
0.338666	0.823208
0.243856	0.738145
0.217083	0.611335
0.265883	0.433573
0.355601	0.354093
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 15
TimeSeriesData:
0.411709	0.316626
0.492034	0.299213
0.560541	0.302185
0.594836	0.311365
0.647613	0.366881
0.676189	0.456826
0.687991	0.586621
0.615432	0.702541
0.533969	0.823769
0.533969	0.823769
0.310829	0.813516
0.243044	0.700341
0.228267	0.634764
0.243492	0.508757
0.288177	0.408234
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 15
TimeSeriesData:
0.367249	0.336915
0.466987	0.301295
0.531902	0.30368
0.596793	0.325145
0.647076	0.382881
0.676814	0.475082
0.689419	0.607442
0.623641	0.727369
0.592069	0.799816
0.487595	0.848904
0.376076	0.826863
0.274635	0.749641
0.591236	0.267936
0.257203	0.494757
0.310076	0.388711
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData:
0.382762	0.337416
0.463665	0.305145
0.533494	0.295313
0.601267	0.307906
0.651384	0.367338
0.672281	0.465545
0.650429	0.593999
0.613479	0.738199
0.516045	0.830784
0.393429	0.84666
0.290166	0.77252
0.242488	0.648369
0.249101	0.514178
0.292314	0.410621
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 15
TimeSeriesData:
0.376137	0.328695
0.443712	0.298918
0.508513	0.282374
0.58064	0.285793
0.634945	0.325492
0.66712	0.410739
0.674015	0.470621
0.679801	0.61127
0.613063	0.756209
0.512728	0.868206
0.390643	0.86622
0.290551	0.780903
0.243699	0.650068
0.243826	0.587318
0.302375	0.413506
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 15
TimeSeriesData:
0.382096	0.340601
0.484158	0.295723
0.521215	0.291235
0.591573	0.292548
0.647773	0.339092
0.676174	0.429127
0.677322	0.553811
0.647378	0.618342
0.602229	0.757122
0.499687	0.799579
0.387554	0.813266
0.317578	0.722879
0.244264	0.616054
0.257798	0.495972
0.308643	0.393809
