GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: NOT_SET
InfoText: 
NumDimensions: 2
TotalNumTrainingExamples: 45
NumberOfClasses: 4
ClassIDsAndCounters: 
1	10
2	13
3	12
4	10
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 15
TimeSeriesData:
0.391885	0.368711
0.471096	0.34651
0.532013	0.348402
0.602706	0.380705
0.650499	0.441821
0.668129	0.541676
0.629759	0.660104
0.610739	0.734859
0.512974	0.800816
0.477089	0.820293
0.355227	0.811101
0.299527	0.781255
0.248327	0.59806
0.272279	0.48404
0.333002	0.388783
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 16
TimeSeriesData: 
0.397175	0.348584
0.479306	0.317162
0.546495	0.315558
0.609685	0.333691
0.652075	0.398631
0.671676	0.493854
0.645315	0.609418
0.621679	0.771952
0.518291	0.870705
0.392688	0.874132
0.300818	0.813708
0.238805	0.700564
0.23249	0.578052
0.264669	0.46502
0.293185	0.41683
0.32944	0.377284
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 15
TimeSeriesData:
0.398284	0.342431
0.481086	0.321805
0.546841	0.323628
0.61537	0.354135
0.660331	0.420591
0.680374	0.522011
0.645777	0.644729
0.600632	0.77901
0.497631	0.832232
0.382825	0.853141
0.27724	0.794643
0.228776	0.665618
0.237313	0.537093
0.285228	0.42755
0.386501	0.362277
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData:
0.43454	0.32501
0.537954	0.304909
0.603503	0.326826
0.651539	0.384703
0.670641	0.486296
0.642913	0.609681
0.605105	0.755528
0.502385	0.841565
0.385213	0.848588
0.28286	0.786708
0.233314	0.656983
0.238492	0.53223
0.288183	0.419308
0.362415	0.346321
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData:
0.430444	0.322018
0.507833	0.311831
0.577777	0.324029
0.636371	0.367185
0.673362	0.446337
0.677547	0.55881
0.632685	0.685949
0.560948	0.81052
0.459918	0.889161
0.338666	0.823208
0.243856	0.738145
0.217083	0.611335
0.265883	0.433573
0.355601	0.354093
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 15
TimeSeriesData:
0.411709	0.316626
0.492034	0.299213
0.560541	0.302185
0.594836	0.311365
0.647613	0.366881
0.676189	0.456826
0.687991	0.586621
0.615432	0.702541
0.533969	0.823769
0.533969	0.823769
0.310829	0.813516
0.243044	0.700341
0.228267	0.634764
0.243492	0.508757
0.288177	0.408234
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 15
TimeSeriesData:
0.367249	0.336915
0.466987	0.301295
0.531902	0.30368
0.596793	0.325145
0.647076	0.382881
0.676814	0.475082
0.689419	0.607442
0.623641	0.727369
0.592069	0.799816
0.487595	0.848904
0.376076	0.826863
0.274635	0.749641
0.591236	0.267936
0.257203	0.494757
0.310076	0.388711
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData:
0.382762	0.337416
0.463665	0.305145
0.533494	0.295313
0.601267	0.307906
0.651384	0.367338
0.672281	0.465545
0.650429	0.593999
0.613479	0.738199
0.516045	0.830784
0.393429	0.84666
0.290166	0.77252
0.242488	0.648369
0.249101	0.514178
0.292314	0.410621
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 15
TimeSeriesData:
0.376137	0.328695
0.443712	0.298918
0.508513	0.282374
0.58064	0.285793
0.634945	0.325492
0.66712	0.410739
0.674015	0.470621
0.679801	0.61127
0.613063	0.756209
0.512728	0.868206
0.390643	0.86622
0.290551	0.780903
0.243699	0.650068
0.243826	0.587318
0.302375	0.413506
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 15
TimeSeriesData:
0.382096	0.340601
0.484158	0.295723
0.521215	0.291235
0.591573	0.292548
0.647773	0.339092
0.676174	0.429127
0.677322	0.553811
0.647378	0.618342
0.602229	0.757122
0.499687	0.799579
0.387554	0.813266
0.317578	0.722879
0.244264	0.616054
0.257798	0.495972
0.308643	0.393809
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 29
TimeSeriesData:
0.0610748	0.768258
0.0971892	0.635027
0.16454	0.543775
0.19296	0.485632
0.184456	0.451173
0.184456	0.451173
0.237976	0.331643
0.276036	0.281116
0.339674	0.219676
0.369076	0.208709
0.390109	0.202082
0.416956	0.199748
0.44517	0.202128
0.473012	0.210903
0.498895	0.226021
0.547861	0.285378
0.568505	0.323948
0.568505	0.323948
0.587188	0.375785
0.609271	0.500734
0.605213	0.571557
0.582937	0.643938
0.53136	0.714123
0.415236	0.840801
0.337219	0.893253
0.275422	0.908253
0.149615	0.888666
0.111252	0.853438
0.0675309	0.807565
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 33
TimeSeriesData: 
0.116744	0.697122
0.119398	0.64509
0.171143	0.551459
0.192047	0.49337
0.217506	0.439912
0.24927	0.398362
0.264792	0.370402
0.285957	0.337494
0.310684	0.315428
0.325124	0.287044
0.346172	0.294033
0.373207	0.262961
0.396284	0.261117
0.41773	0.267611
0.441415	0.285824
0.463842	0.3072
0.485022	0.331857
0.50855	0.36789
0.529136	0.409785
0.558636	0.462097
0.571417	0.519148
0.587334	0.577812
0.596012	0.654372
0.565872	0.717693
0.523393	0.768133
0.479203	0.810919
0.422088	0.858485
0.350629	0.890743
0.303669	0.909232
0.233355	0.911599
0.175861	0.900281
0.131914	0.873021
0.107656	0.824747
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 33
TimeSeriesData:
0.116727	0.69075
0.117432	0.633442
0.175654	0.546817
0.201161	0.485213
0.222817	0.424656
0.237945	0.396286
0.266252	0.348425
0.285914	0.319914
0.311865	0.285102
0.329732	0.259573
0.353552	0.236875
0.378127	0.225197
0.397487	0.222375
0.422917	0.226378
0.44684	0.237449
0.472741	0.256819
0.495279	0.281748
0.518485	0.31564
0.538401	0.35584
0.555826	0.40291
0.573825	0.465994
0.587629	0.52493
0.600058	0.59785
0.574197	0.665084
0.529158	0.728173
0.488601	0.776005
0.435395	0.829876
0.372723	0.876358
0.320289	0.898834
0.252919	0.904186
0.197904	0.896689
0.149579	0.876303
0.116865	0.838375
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 33
TimeSeriesData:
0.106407	0.720696
0.101363	0.665522
0.157059	0.570139
0.181491	0.515087
0.199144	0.450845
0.221899	0.406049
0.237483	0.375152
0.261657	0.339716
0.283775	0.308538
0.301749	0.264123
0.319429	0.245294
0.331193	0.26601
0.359969	0.242906
0.381656	0.244819
0.40153	0.253869
0.422758	0.27193
0.444116	0.300962
0.463551	0.335
0.481645	0.373026
0.502834	0.422892
0.519894	0.477706
0.534935	0.542257
0.545562	0.617413
0.547096	0.693048
0.536213	0.769645
0.503719	0.809137
0.405753	0.876792
0.336033	0.905216
0.286793	0.907465
0.224056	0.903556
0.170754	0.884388
0.130123	0.854691
0.108314	0.806574
************TIME_SERIES************
ClassID: 2
TimeSeriesLength: 31
