GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: NOT_SET
InfoText: 
NumDimensions: 2
TotalNumTrainingExamples: 12
NumberOfClasses: 1
ClassIDsAndCounters: 
1	12
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 13
TimeSeriesData: 
0.400854	0.674465
0.401869	0.682807
0.401636	0.697985
0.401191	0.719822
0.401204	0.746276
0.401453	0.763807
0.400694	0.768109
0.402541	0.754173
0.401019	0.731991
0.402568	0.710774
0.401684	0.693834
0.40163	0.684119
0.400828	0.678937
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData: 
0.401036	0.680977
0.402078	0.689009
0.401949	0.703208
0.402861	0.724257
0.403698	0.752917
0.403072	0.78044
0.403312	0.801893
0.40379	0.806083
0.405691	0.793275
0.406794	0.770512
0.407545	0.745831
0.408336	0.726328
0.409239	0.712984
0.40942	0.70582
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 13
TimeSeriesData: 
0.409545	0.705244
0.410467	0.710324
0.411206	0.723376
0.412398	0.742926
0.412285	0.765635
0.412244	0.781215
0.412345	0.785161
0.412729	0.770106
0.412882	0.744069
0.41277	0.718813
0.411613	0.698756
0.410989	0.685324
0.410671	0.676707
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData: 
0.409726	0.675659
0.409976	0.681166
0.409167	0.69381
0.408452	0.713411
0.408041	0.739801
0.408004	0.765762
0.406636	0.784404
0.406351	0.785904
0.405689	0.77022
0.405839	0.748192
0.404947	0.725389
0.40453	0.709667
0.404281	0.698346
0.403679	0.693803
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 13
TimeSeriesData: 
0.403387	0.694833
0.403366	0.70264
0.403457	0.718117
0.403328	0.739377
0.402835	0.76474
0.402268	0.785577
0.402003	0.791043
0.403372	0.777201
0.404419	0.74968
0.405557	0.723267
0.405918	0.702141
0.405898	0.687342
0.406091	0.678942
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 15
TimeSeriesData: 
0.407205	0.677278
0.407662	0.681255
0.40864	0.692556
0.409479	0.711208
0.410682	0.737249
0.411065	0.767731
0.411564	0.792468
0.411892	0.803806
0.412498	0.794697
0.413514	0.770029
0.413826	0.739877
0.413655	0.713466
0.413184	0.694036
0.413495	0.681011
0.412968	0.674353
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 15
TimeSeriesData: 
0.384449	0.694298
0.38392	0.696152
0.385287	0.703538
0.386362	0.718241
0.385798	0.740565
0.385376	0.76803
0.385229	0.795441
0.38401	0.81142
0.384286	0.810379
0.384032	0.79327
0.384489	0.76734
0.38488	0.744775
0.38345	0.728682
0.383317	0.716932
0.383148	0.710473
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 13
TimeSeriesData: 
0.383882	0.711466
0.382829	0.718468
0.383696	0.73185
0.384266	0.751457
0.384342	0.772875
0.384026	0.788289
0.38338	0.791064
0.384441	0.778342
0.386407	0.756658
0.387975	0.735423
0.388043	0.719142
0.38908	0.706759
0.389621	0.699852
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData: 
0.407483	0.704573
0.407394	0.713757
0.407305	0.728356
0.407947	0.751586
0.407733	0.778897
0.406972	0.797847
0.406345	0.805211
0.405849	0.798083
0.405751	0.780155
0.404394	0.759056
0.403335	0.741444
0.403098	0.728133
0.399878	0.716708
0.399878	0.716708
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData: 
0.398982	0.716232
0.398673	0.721592
0.39735	0.733339
0.396576	0.752756
0.395844	0.777285
0.394708	0.797309
0.393789	0.808188
0.392575	0.804641
0.393574	0.786564
0.393249	0.762497
0.39357	0.741427
0.39257	0.727077
0.392259	0.719311
0.392202	0.714603
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData: 
0.39187	0.715675
0.392009	0.721983
0.393082	0.735402
0.392219	0.756332
0.392584	0.784213
0.392673	0.809646
0.3921	0.825701
0.39217	0.826004
0.393341	0.811206
0.392878	0.789049
0.394314	0.750113
0.393831	0.738093
0.393831	0.738093
0.393467	0.731691
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 14
TimeSeriesData: 
0.393842	0.730579
0.393361	0.735884
0.395001	0.747536
0.395067	0.765671
0.39444	0.789103
0.394517	0.809233
0.394162	0.82298
0.393982	0.823344
0.394272	0.809771
0.394037	0.785477
0.394413	0.764137
0.392638	0.750466
0.392781	0.74114
0.391701	0.738415

